date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message,topic
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,読売新聞,,,,skipped,robots.txtが一般クローラー/AI系UAを名指しで包括的にDisallow。2024年1月のToS改定で自動収集・生成AI学習目的の収集を明示的に禁止しているため、自動取得の対象外とする。,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,行方不明になった認知症の妻 「やっと家に連れて帰れる」安堵と後悔,http://www.asahi.com/articles/ASV7Q1QHXV7QUTFL001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,姿を消した認知症の父、文字で刻まれた「死亡」 それでも父を待つ,http://www.asahi.com/articles/ASV7Q1HNSV7QUTFL001M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,認知症行方不明者の家族 安否分からず「あいまいな喪失」抱えて,http://www.asahi.com/articles/ASV7Q3DNJV7QUTFL002M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,「薬間に合ったよ」母は脳腫瘍の娘に告げた 日本でできなかった治験,http://www.asahi.com/articles/ASV7P03BTV7PUTIL00KM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,震える文字、動かぬ左手 脳腫瘍の少女は夢に向け、ペンを持ち続けた,http://www.asahi.com/articles/ASV7P006ZV7PUTIL002M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,ロッキード事件が生んだ「特捜神話」 弁護人が語る検察の「ゆがみ」,http://www.asahi.com/articles/ASV7R0TXDV7RUTIL00DM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,死亡したのは22歳女性と判明 福岡市のひき逃げ事件、容疑者は否認,http://www.asahi.com/articles/ASV7V2T3PV7VTIPE00BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,「優しく寄り添う社会を」 やまゆり園事件10年、献花に多くの人,http://www.asahi.com/articles/ASV7V0DD4V7VOXIE02NM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
2026-07-27,2026-07-27T06:44:38.343939+09:00,全国紙,全国,朝日新聞,再審無罪の松橋事件、検察と警察の違法性は?27日に国賠控訴審判決,http://www.asahi.com/articles/ASV7S2TYZV7STIPE012M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,
