date,article_count,ok_count,skipped_count,error_count
2026-08-01,1512,1503,8,1
2026-08-02,1496,1487,8,1
2026-08-03,1654,1645,8,1
2026-08-04,1685,1676,8,1
2026-08-05,1646,1637,8,1
2026-08-06,1792,1783,8,1
2026-08-07,1424,1414,8,2
2026-08-08,1287,1278,8,1
2026-08-09,1390,1381,8,1
2026-08-10,741,732,8,1
2026-08-11,793,784,8,1
2026-08-12,1659,1650,8,1
2026-08-13,1681,1672,8,1
2026-08-14,1635,1626,8,1
2026-08-15,1577,1568,8,1
2026-08-16,1456,1447,8,1
2026-08-17,1697,1688,8,1
2026-08-18,1617,1608,8,1
2026-08-19,1697,1688,8,1
2026-08-20,1696,1687,8,1
2026-08-21,1676,1667,8,1
2026-08-22,1611,1602,8,1
2026-08-23,1439,1430,8,1
2026-08-24,1747,1738,8,1
2026-08-25,1766,1757,8,1
2026-08-26,1170,1161,8,1
